date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aisle_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shelve_hierarchy_ID,shelve_type,shelve_url
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Body Lotion & Cream,11101613,1215677638945-1215684161169-1215686355716-1215665618582,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Body Oil,11101614,1215677638945-1215684161169-1215686355716-1215665619872,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Face Masks & Strips,11101615,1215677638945-1215684161169-1215686355716-1215665611378,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,"Hair Masks, Serums & Oils",11101616,1215677638945-1215684161169-1215686355716-1215431229712,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Nail Polish,11101617,1215677638945-1215684161169-1215686355716-1215647387270,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Gel Nail Polish,11101618,1215677638945-1215684161169-1215686355716-1215670016115,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Pamper Night,,1215677638945-1215684161169-1215686355716,aisle,,,Gradual Fake Tan Moisturiser,11101619,1215677638945-1215684161169-1215686355716-1215686354216,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Gifting,1111,1215677638945-1215686355856,dept,,,,Cakes & Candles,111110.0,1215677638945-1215686355856-1215686355857,aisle,,[],,11111099,,,
2024-06-20,Events & Inspiration,11,1215677638945,,,Gifting,1111,1215677638945-1215686355856,dept,,,,Flowers,111111.0,1215677638945-1215686355856-910000975456,aisle,,[],,11111199,,,
2024-06-20,Events & Inspiration,11,1215677638945,,,Gifting,1111,1215677638945-1215686355856,dept,,,,Boxed Chocolates & Gifts,,1215677638945-1215686355856-1215685421655,aisle,,,Sweets Cartons & Tubs,11111210,1215677638945-1215686355856-1215685421655-1215686011437,shelf,
